InventoryID,WarehouseID,MaterialType,Weight_In(tons),Waste(tons),Weight_Out(tons),LastUpdated,SupervisorName,CurrentVolume(tons),
1,27,Copper Ore,13.16953,0.6875,7.57179,2024-11-01,Derek Shaw,4.91024,
2,20,Molybdenum,17.95596,0.5197,13.70724,2024-10-02,Bobby Molina,3.72902,
3,33,Molybdenum,27.18354,0.6838,10.43288,2025-03-18,Paul Mueller,16.06686,
4,33,Copper Ore,35.67247,0.22057,11.01112,2024-10-11,Michael Cobb,24.44078,
5,27,Copper Concentrate,13.49517,0.29244,9.78741,2024-01-11,Brandy Martin,3.41532,
6,9,Molybdenum,38.62922,0.64891,14.76221,2024-04-05,John Phillips,23.2181,
7,13,Copper Concentrate,14.06979,0.43092,5.15787,2023-09-12,Justin Rasmussen,8.481,
8,11,Copper Concentrate,17.02396,0.39074,4.93825,2024-06-10,Joshua Reyes,11.69497,
9,35,Copper Concentrate,38.53286,0.54321,17.98749,2023-12-09,Seth Parker,20.00216,
10,10,Copper Concentrate,45.41055,0.42345,15.38895,2023-07-27,Karen Ryan,29.59815,
11,38,Copper Concentrate,49.32553,0.74572,20.48573,2023-08-30,Angela Holloway,28.09408,
12,7,Copper Ore,36.11628,0.43218,14.4533,2024-06-24,Matthew Flynn,21.2308,
13,23,Copper Concentrate,29.10945,0.70175,16.73597,2024-12-08,Jenna Pittman,11.67173,
14,7,Copper Ore,13.5115,0.56106,6.31556,2024-03-25,Mark Myers,6.63488,
15,20,Copper Ore,32.35803,0.74721,19.63375,2023-07-14,Sarah Yates,11.97707,
16,19,Molybdenum,17.24601,0.49043,6.56235,2024-01-11,Elizabeth Hall,10.19323,
17,2,Copper Ore,30.57608,0.77511,12.02952,2024-06-05,David Ramirez,17.77145,
18,5,Molybdenum,34.35721,0.54603,27.4503,2023-11-10,Ashley Cardenas,6.36088,
19,18,Molybdenum,43.3285,0.21665,14.86013,2024-11-06,Jacob Flores,28.25172,
20,7,Copper Ore,22.95002,0.64332,15.09462,2024-06-03,Jim Jackson,7.21208,
21,38,Copper Ore,49.55448,0.71684,30.71149,2023-11-16,Edgar Kline,18.12615,
22,34,Molybdenum,49.79801,0.25913,29.31631,2023-09-09,Jessica Bowman,20.22257,
23,19,Copper Concentrate,43.04603,0.77807,11.74885,2025-03-26,Erika Garcia,30.51911,
24,21,Copper Concentrate,37.7661,0.53806,7.67949,2023-08-31,Collin Gregory,29.54855,
25,27,Copper Concentrate,39.34679,0.64442,25.47043,2024-04-23,Henry Pope,13.23194,
26,24,Copper Ore,45.01075,0.3344,11.24446,2024-10-28,Robert Chen,33.43189,
27,23,Copper Ore,48.06041,0.76471,16.61119,2023-10-30,Rodney Peterson,30.68451,
28,38,Copper Concentrate,44.09052,0.586,34.98744,2024-03-09,Tammy Shaw,8.51708,
29,11,Copper Concentrate,35.63755,0.52599,27.78548,2025-03-10,Tiffany Newton,7.32608,
30,9,Molybdenum,12.93994,0.77683,9.74112,2024-02-03,Sheila Walls,2.42199,
31,27,Copper Ore,34.93539,0.53418,19.21302,2024-12-29,Veronica Carter,15.18819,
32,36,Molybdenum,24.12856,0.519,11.43065,2024-12-14,Megan Richardson,12.17891,
33,28,Molybdenum,16.59114,0.22686,7.92065,2024-07-19,Christopher Rosario,8.44363,
34,33,Molybdenum,45.72665,0.52783,18.46641,2024-11-17,John English,26.73241,
35,17,Molybdenum,42.99562,0.64662,33.5543,2023-08-21,Tyler Martinez,8.7947,
36,22,Molybdenum,31.06554,0.42104,21.42242,2024-04-27,Gregory Howard,9.22208,
37,30,Copper Concentrate,28.53797,0.6076,22.69211,2024-04-07,Sophia Juarez,5.23826,
38,17,Copper Concentrate,29.57205,0.53846,11.25302,2024-11-09,Joshua Young,17.78057,
