TruckID,LicensePlate,DriverName,CapacityTons,PurchaseDate,Status,OperationID,WarehouseID,working place
1,IR-3201,Stacey Hendricks,41.44934738,2023-07-07,Operational,16,22,Karenbury
2,IR-2033,Melinda Jones,44.90969336,2023-05-03,Operational,17,24,Karenbury
3,IR-5179,Joseph Galloway,38.90948095,2024-06-01,Operational,18,27,Karenbury
4,IR-2931,Cheryl Kelly,43.82293528,2024-03-31,Operational,19,40,Karenbury
5,IR-9117,Katie Berg,42.04790213,2025-04-07,Operational,20,27,Karenbury
6,IR-8364,Rachael Sims,35.31172897,2023-10-30,Operational,21,22,Karenbury
7,IR-8737,Gloria Martinez,31.2014905,2023-07-11,Operational,49,22,Karenbury
8,IR-7219,Amanda Nelson,34.81030347,2023-12-25,Operational,50,24,Karenbury
9,IR-4439,homelander,37.78074256,2024-05-13,Operational,51,27,Karenbury
10,IR-2537,Ryan Murphy,42.21815888,2024-08-17,Operational,88,22,Karenbury
11,IR-8993,Ian Williams,41.71615091,2023-06-18,Operational,89,40,Karenbury
12,IR-1464,Melissa Smith,39.24689574,2024-07-19,Operational,90,27,Karenbury
13,IR-7386,Chad Wood,39.67817551,2024-03-29,Operational,133,27,Karenbury
14,IR-8090,Brenda Perez,43.94722227,2024-07-09,Operational,134,40,Karenbury
15,IR-1034,Jorge Santana,39.97031292,2023-12-18,Operational,135,27,Karenbury
16,IR-8297,Stephanie Weaver,36.99791914,2024-02-29,Operational,1,12,Lake Austin
17,IR-5363,Seth Carpenter,34.15699421,2024-08-30,Operational,2,13,Lake Austin
18,IR-4748,Jose Kelly,41.05065899,2023-06-01,Operational,3,26,Lake Austin
19,IR-2674,Benjamin Harris,43.73193434,2024-10-02,Operational,28,28,Lake Austin
20,IR-6200,Brandi Clark,42.14822317,2024-08-05,Operational,29,29,Lake Austin
21,IR-1501,Jack Williams,43.14216556,2023-05-23,Operational,30,12,Lake Austin
22,IR-1365,Leonard Gregory,32.82740061,2023-12-01,Operational,40,13,Lake Austin
23,IR-1416,Anita Schneider,41.00517511,2025-04-05,Operational,41,26,Lake Austin
24,IR-9870,Grant Andrews,35.91332876,2024-08-24,Operational,42,29,Lake Austin
25,IR-1150,Megan Galloway,31.0476975,2024-05-06,Operational,67,28,Lake Austin
26,IR-7245,Eugene Castillo,39.05693952,2024-04-05,Operational,68,29,Lake Austin
27,IR-4548,Anthony Richardson,43.16470912,2023-10-18,Operational,69,12,Lake Austin
28,IR-7915,Brandy Jones,31.34418982,2023-11-25,Operational,85,12,Lake Austin
29,IR-1475,Patrick Bradley,43.77428027,2025-04-06,Operational,86,28,Lake Austin
30,IR-9644,Lisa Zamora DDS,40.4811438,2025-03-06,Operational,87,12,Lake Austin
31,IR-4632,Mr. Benjamin Brown,36.58190375,2024-01-05,Operational,112,13,Lake Austin
32,IR-8174,Shannon Smith,36.76082173,2024-12-22,Operational,113,29,Lake Austin
33,IR-9123,Garrett Edwards,44.2188258,2024-05-06,Operational,114,12,Lake Austin
34,IR-4818,Dawn Torres,41.15737724,2024-04-08,Operational,118,12,Lake Austin
35,IR-6663,Dr. Edward Schultz,32.98195834,2024-06-18,Operational,119,26,Lake Austin
36,IR-4782,Jeffrey Ho,34.72007275,2023-06-12,Operational,120,26,Lake Austin
37,IR-4584,Herbert Valdez,38.28188955,2023-11-25,Operational,7,4,Lake Jamieport
38,IR-8530,Laura Franklin,31.90928601,2024-06-02,Operational,8,25,Lake Jamieport
39,IR-5747,Erica Bell,32.26135625,2023-09-13,Operational,9,30,Lake Jamieport
40,IR-1352,Joseph Bradley,31.59248574,2024-11-29,Operational,94,32,Lake Jamieport
41,IR-7818,Jennifer Cole,33.8908166,2024-10-30,Operational,95,36,Lake Jamieport
42,IR-2638,Tricia Sanchez,44.69596303,2024-04-05,Operational,96,36,Lake Jamieport
43,IR-4045,Danielle Figueroa,30.72700121,2024-04-18,Operational,127,25,Lake Jamieport
44,IR-5856,Jonathon Hudson,37.25129088,2023-12-16,Operational,128,4,Lake Jamieport
45,IR-2980,Sylvia Pope,35.53913205,2024-07-28,Operational,129,32,Lake Jamieport
46,IR-6450,Kathleen Smith,44.46123052,2024-08-01,Operational,55,7,Lake Scott
47,IR-9205,Kristina Harmon,36.66594964,2023-09-19,Operational,56,14,Lake Scott
48,IR-7915,Kevin Williams,33.30691213,2024-01-05,Operational,57,21,Lake Scott
49,IR-9318,Samantha Kim,36.19988483,2024-05-31,Operational,79,23,Lake Scott
50,IR-4110,Mary Torres,39.10270115,2024-09-23,Operational,80,34,Lake Scott
51,IR-5970,Peter Kelly,31.67138192,2024-03-04,Operational,81,34,Lake Scott
52,IR-5655,Jeremy Whitaker,43.8830231,2024-12-11,Operational,106,14,Lake Scott
53,IR-9181,Latoya Booker,42.41898272,2024-09-29,Operational,107,14,Lake Scott
54,IR-9278,John Smith,30.42029662,2024-10-19,Operational,108,21,Lake Scott
55,IR-7444,Shawn Brown,38.895128,2024-03-17,Operational,124,7,Lake Scott
56,IR-1565,Katrina Huerta,33.58851188,2024-10-14,Operational,125,14,Lake Scott
57,IR-8868,Barbara Baker DVM,43.16464648,2024-07-08,Operational,126,21,Lake Scott
58,IR-4977,Christopher Buck,37.79351099,2024-08-06,Operational,130,23,Lake Scott
