WarehouseID,WarehouseName,Location,ManagerName,LastInspectionDate,Capacity(Tons),Current_Utilization_Percent,CurrentVolume(tons),Storage_Cost-each-month(USD),,
1,Warehouse 1,New Sonia,Nicole Huffman,2025-08-10,15.66,0.860866922,13.481176,229.179992,,
2,Warehouse 2,Petersonview,Kaitlyn Perez,2025-08-10,70.21,0.619189019,43.473261,478.205871,,
3,Warehouse 3,Mcfarlandburgh,Emily Garcia,2025-08-10,30.2,0.731846623,22.101768,287.322984,,
4,Warehouse 4,Lake Jamieport,Shaun Anderson,2025-08-10,22.3,0.977773991,21.80436,239.84796,,
5,Warehouse 5,Mcfarlandburgh,Jenna Robertson,2025-08-10,25.14,0.253028282,6.361131,89.055834,,
6,Warehouse 6,Roseberg,Tyler Green,2025-08-07,102,0.82725449,84.379958,843.79958,,
7,Warehouse 7,Lake Scott,Jennifer Smith,2025-08-07,90.2,0.584488736,52.720884,527.20884,,
8,Warehouse 8,Petersonview,Brenda Brown,2025-08-07,59.03,0.8333,49.189699,590.276388,,
9,Warehouse 9,North Lisatown,Christopher Davis,2025-08-07,87.3,0.828054021,72.289116,939.758508,,
10,Warehouse 10,North Jeremymouth,Katie Lucero,2025-08-07,87.78,0.8334,73.155852,1243.649484,,
11,Warehouse 11,North Jeremymouth,Wendy Hall,2025-08-07,34,0.843940059,28.693962,344.327544,,
12,Warehouse 12,Lake Austin,David Garza,2025-08-07,33.6,0.799667143,26.868816,403.03224,,
13,Warehouse 13,Lake Austin,Rebecca Mckinney,2025-08-07,18,0.64573,11.62314,174.3471,,
14,Warehouse 14,Lake Scott,Jay Fox,2025-08-07,32,0.546592719,17.490967,262.364505,,
15,Warehouse 15,North Lisatown,Andrew Ortiz,2025-08-07,46.98,0.8333,39.148434,469.781208,,
16,Warehouse 16,Petersonview,Nathaniel Allen,2025-08-07,118.45,0.8334,98.71623,1480.74345,,
17,Warehouse 17,Roseberg,Christopher Hall,2025-08-07,99.3,0.761886274,75.655307,1286.140219,,
18,Warehouse 18,North Jeremymouth,Joseph Marshall,2025-08-07,90.25,0.506688731,45.728658,457.28658,,
19,Warehouse 19,Mcfarlandburgh,Martin Lewis,2025-08-07,120,0.920727058,110.487247,1657.308705,,
20,Warehouse 20,New Sonia,Tracey Daniel,2025-08-07,110.8,0.812091462,89.979734,1169.736542,,
21,Warehouse 21,Lake Scott,Jorge Perkins,2025-08-07,84.5,0.828370012,69.997266,1119.956256,,
22,Warehouse 22,Karenbury,Jason Warren,2025-08-07,64.2,0.8334,53.50428,909.57276,,
23,Warehouse 23,Lake Scott,Brandon Lang,2025-08-07,125.36,0.792049107,99.291276,1092.204036,,
24,Warehouse 24,Karenbury,Joseph Dorsey,2025-08-07,80,0.799030538,63.922443,894.914202,,
25,Warehouse 25,Lake Jamieport,Donna Lucero,2025-08-07,9,0.978899444,8.810095,140.96152,,
26,Warehouse 26,Lake Austin,Alec Jennings,2025-08-07,36,0.675586333,24.321108,291.853296,,
27,Warehouse 27,Karenbury,Eric Pittman,2025-08-07,70,0.878284543,61.479918,922.19877,,
28,Warehouse 28,Lake Austin,Alexis Hayes,2025-08-07,47,0.817086638,38.403072,576.04608,,
29,Warehouse 29,Lake Austin,John Clark,2025-08-07,82.3,0.818517278,67.363972,1010.45958,,
30,Warehouse 30,Lake Jamieport,Angela Mitchell,2025-08-07,63,0.797322603,50.231324,703.238536,,
31,Warehouse 31,North Lisatown,Timothy Jones,2025-08-07,51.35,0.8334,42.79509,684.72144,,
32,Warehouse 32,Lake Jamieport,Cheryl Duncan,2025-08-07,69.36,0.875950159,60.755903,972.094448,,
33,Warehouse 33,New Sonia,Joel Molina,2025-08-07,200,0.596767795,119.353559,1551.596267,,
34,Warehouse 34,Lake Scott,Bryan Martinez,2025-08-07,50.3,0.667302664,33.565324,537.045184,,
35,Warehouse 35,New Sonia,Samuel Davidson,2025-08-07,63.55,0.8176631,51.96249,779.43735,,
36,Warehouse 36,Lake Jamieport,Melissa Johnson,2025-08-07,17.6,0.691982727,12.178896,207.041232,,
37,Warehouse 37,Roseberg,Paula Cummings,2025-08-07,112.3,0.856628335,96.199362,1539.189792,,
38,Warehouse 38,North Jeremymouth,Mr. Jim Lindsey III,2025-08-10,145.33,0.809544334,117.651078,1764.76617,,
39,Warehouse 39,Mcfarlandburgh,Karen Blevins,2025-08-10,32.24,0.885099752,28.535616,285.35616,,
40,Warehouse 40,Karenbury,Tara Huff,2025-08-10,90.08,0.814798668,73.397064,954.161832,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
